Complaint,DateOccur,Crime,Description,ILEADSAddress,ILEADSStreet,Generic Crime,Latitude,Longitude
20-054746,11/7/2020 6:00,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,nan,PAGE BLVD / UNION BLVD,Motor Vehicle Theft,38.6608984,-90.2720457
20-050672,11/7/2020 20:30,130000,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",nan,N 17TH ST / CHESTNUT ST,Other Crime,38.6296202,-90.2049166
20-055319,11/8/2020 12:00,111110,FRAUD-BAD CHECK/INSUF FUNDS/OVER $150             ,1542,CALIFORNIA,Fraud,38.6270025,-90.1994042
20-057437,11/8/2020 12:12,117000,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,326,KINGSHIGHWAY,Other Crime,38.6688592,-90.2570703
20-056539,11/9/2020 15:00,67601,"LARCENY-FROM BUILDING $500 - $24,999              ",4741,HAMBURG,Larceny,38.5599739,-90.2931735
20-055311,11/9/2020 16:56,264100,HEALTH-SANITATION VIOL                            ,5867,PAGE,Other Crime,38.6270025,-90.1994042
20-054331,11/10/2020 4:00,72113,AUTO THEFT-TRUCK/PERM RETNT/UNRECOV OVER 48HR     ,1641,S KINGSHIGHWAY BLVD,Motor Vehicle Theft,38.6055846,-90.2691101
20-056473,11/10/2020 7:00,69602,"LARCENY-ALL OTHER $500 - $24,999                  ",4333,GOODFELLOW,Larceny,38.6762544,-90.2737423
02-051203,11/10/2020 17:30,71013,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2801,MARKET,Motor Vehicle Theft,38.6270025,-90.1994042
20-054424,11/11/2020 14:30,52312,BURGLARY-BUSINESS/UNK TIME/FORC ENT/UNOCCUPIED    ,2904,MARCUS AVE,Burglary,38.6684723,-90.2475627
20-051282,11/11/2020 15:45,183250,DRUGS-SALE/COCAINE                                ,1915,OLIVE ST,Other Drug Offense,38.6355848,-90.2250112
20-057024,11/12/2020 11:50,67701,LARCENY-FROM BUILDING UNDER $500                  ,1042,MCCAUSLAND,Larceny,38.6087681,-90.3111937
20-055624,11/12/2020 16:00,64701,LARCENY-FROM MTR VEH UNDER $500                   ,2407,UNION,Larceny,38.6270025,-90.1994042
20-053116,11/14/2020 15:30,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,5476,DELMAR BLVD,Larceny,38.6513457,-90.2605364
20-056345,11/14/2020 20:23,63701,LARCENY-SHOPLIFT UNDER $500                       ,745,HAMPTON,Larceny,38.5989644,-90.2924434
20-054731,11/15/2020 9:00,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2925,ABNER PL,Burglary,38.6763165,-90.2626785
20-058385,11/15/2020 12:00,51312,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,5717,PAMPLIN,Burglary,38.7117601,-90.2503558
20-056576,11/15/2020 17:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",421,S. 10TH ST.,Larceny,38.6128182,-90.2020996
20-056690,11/16/2020 7:00,69702,LARCENY-ALL OTHER UNDER $500                      ,3815,BELL,Larceny,38.6270025,-90.1994042
20-056157,11/16/2020 8:00,117000,FAILURE TO RETURN BORROWED/RENTED VEHICL          ,2233,WASHINGTON,Other Crime,38.6487895,-90.3107962
20-054702,11/16/2020 11:00,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,111,WINNEBAGO ST,Larceny,38.589334,-90.2379796
20-054514,11/16/2020 15:00,67601,"LARCENY-FROM BUILDING $500 - $24,999              ",5319,LANSDOWNE AVE,Larceny,38.589762,-90.2941742
20-055548,11/16/2020 15:10,264100,HEALTH-SANITATION VIOL                            ,5349,QUEENS,Other Crime,38.6897035,-90.242146
20-058022,11/17/2020 0:00,51212,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,4724,GOETHE,Burglary,38.5799226,-90.2858355
20-052126,11/17/2020 7:05,82100,ARSON-2ND DEGREE/ATTEMPT                          ,1315,WASHINGTON AVE,Arson,38.6424083,-90.2384205
20-056708,11/17/2020 8:00,69702,LARCENY-ALL OTHER UNDER $500                      ,4229,GERALDINE,Larceny,38.6270025,-90.1994042
20-056705,11/17/2020 9:45,65701,LARCENY-MTR VEH PARTS UNDER $500                  ,6014,PERSHING,Larceny,38.6460148,-90.2605466
20-052179,11/17/2020 11:58,265321,LEAVING SCENE OF ACCIDENT                         ,5021,LOUISIANA AVE,Other Crime,38.5896272,-90.2402664
20-055715,11/17/2020 16:00,65601,"LARCENY-MTR VEH PARTS $500 - $24,999              ",2665,SCOTT,Larceny,38.6270025,-90.1994042
20-052319,11/17/2020 23:05,51222,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED       ,3521,BINGHAM AVE,Burglary,38.585015,-90.2558133
20-058089,11/18/1999 0:01,176200,SEX OFFNS-SX ABUSE/2ND/VIC 12-13 OR INCAPACITA    ,7,CONVENTION,Other Crime,38.6210228,-90.1942798
